ID	Name	Phyla	Class	Order	Family	Genus
BH3	Ochrobactrum pituitosum	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Ochrobactrum
BIGb0098	Unclassified Yersiniaceae	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Unclassified Yersiniaceae
BIGb0099						
BIGb0100	Serratia sp.	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
BIGb0101	Unclassified Enterobacterales	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified Enterobacterales	Unclassified Enterobacterales
BIGb0102	Acinetobacter vivianii	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
BIGb0103	Herminiimonas sp.					
BIGb0104						
BIGb0105	Stenotrophomonas sp.	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
BIGb0106	Leucobacter luti	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter
BIGb0107	Very Bad 16S					
BIGb0108						
BIGb0109	Xanthomonas					
BIGb0110	Very Bad 16S					
BIGb0111						
BIGb0112	Rahnella aceris	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella1
BIGb0113	Serratia sp.	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
BIGb0114	Serratia sp.	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
BIGb0115	Leucobacter sp.	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter
BIGb0116	Sphingobacterium siyangense	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
BIGb0117	Leucobacter sp.	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Leucobacter
BIGb0118						
BIGb0119	Klebsiella terrigena	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella
BIGb0120	Unclassified Enterobacterales	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified Enterobacterales	Unclassified Enterobacterales
BIGb0121						
BIGb0122	Serratia sp.	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
