genome	SSU_Count
BH3	1
BIGb0102	1
BIGb0106	1
BIGb0138	1
BIGb0145	1
BIGb0149	1
BIGb0156	1
BIGb0170	7
BIGb0172	6
BIGb0188	1
BIGb0196	1
BIGb0215	1
BIGb0219	1
BIGb0236	1
BIGb0243	1
BIGb0267	1
BIGb0273	1
BIGb0359	1
BIGb0383	1
BIGb0393	7
BIGb0399	1
BIGb0404	1
BIGb0408	1
BIGb0435	1
BIGb0473	1
BIGb0477	1
BIGb0525	1
BIGb0552	2
BIGb0611	1
BIGb552	2
CEent1	8
JUb102	0
JUb115	1
JUb129	8
JUb134	3
JUb18	1
JUb19	4
JUb20	1
JUb26	1
JUb275	7
JUb28	1
JUb34	1
JUb39	1
JUb44	7
JUb45	1
JUb52	1
JUb53	1
JUb54	1
JUb56	1
JUb58	1
JUb65	1
JUb66	7
JUb78	1
JUb8	1
JUb85	1
JUb87	0
JUb89	1
JUb96	1
MSPm1	4
MYb1	2
MYb10	7
MYb11	5
MYb114	1
MYb115	1
MYb117	1
MYb12	2
MYb121	1
MYb13	1
MYb137	1
MYb14	1
MYb15	4
MYb16	2
MYb17	1
MYb18	1
MYb184	1
MYb185	1
MYb187	1
MYb19	1
MYb193	6
MYb2	1
MYb209	1
MYb211	1
MYb212	1
MYb213	1
MYb214	1
MYb216	1
MYb22	2
MYb220	1
MYb221	1
MYb222	1
MYb224	1
MYb227	1
MYb229	1
MYb23	1
MYb239	7
MYb24	1
MYb25	1
MYb27	2
MYb29	1
MYb3	1
MYb31	1
MYb32	1
MYb33	1
MYb37	1
MYb40	1
MYb43	1
MYb44	1
MYb45	1
MYb46	1
MYb48	1
MYb49	4
MYb5	1
MYb50	1
MYb51	1
MYb52	1
MYb54	1
MYb56	1
MYb57	4
MYb58	5
MYb6	4
MYb60	1
MYb62	1
MYb63	0
MYb64	1
MYb66	1
MYb67	0
MYb68	1
MYb7	1
MYb70	1
MYb71	4
MYb72	1
MYb73	4
MYb75	1
MYb78	1
MYb9	1
